Product Information,معلومات المنتج,,
Product Category,فئة المنتج,,
Description,وصف,,
Short description,وصف قصير,,
SKU,SKU,,
SKU Available,سكو متاح,,
SKU Already Exist,سكو موجود بالفعل,,
Price,السعر,,
Stock,مخزون,,
Weight,وزن,,
Image,صورة,,
Add other image,إضافة صورة أخرى,,
Back,الى الخلف,,
Save,حفظ,,
Cancel,إلغاء,,
Remove,إزالة,,
FOR BECOME SELLER CONTACT TO ADMIN,لتصبح البائع الاتصال إلى أدمين,,
Edit Product,تحرير المنتج,,
Status,الحالة,,
Qty. Sold,الكمية. تم البيع,,
Earn Amount,كسب المبلغ,,
Action,عمل,,
Pending,قيد الانتظار,,
Approved,وافق,,
Delete Magento Product,حذف منتج الماجنتو,,
Sure Want To Delete Magento Product,بالتأكيد تريد حذف المنتج الماجنتو,,
FOR BECOME SELLER CONTACT TO ADMIN..,للاتصال بالبائع إلى أدمين ..,,
Order History,تاريخ الطلب,,
Unable to download File,تعذر تنزيل الملف,,
Download,تحميل,,
From,من عند,,
To,إلى,,
Select Date,حدد تاريخ,,
By,بواسطة,,
Order,طلب,,
Next,التالى,,
Previous,سابق,,
Ask Question to Admin,اطرح سؤال على المشرف,,
Today,اليوم,,
Week,أسبوع,,
Month,شهر,,
Latest Order,أحدث ترتيب,,
Latest Comments & Reviews,أحدث التعليقات و الآراء,,
Value,القيمة,,
Quality,جودة,,
FeedBack By,فيدباك بي,,
Subject,موضوع,,
Ask,يطلب,,
Reset,إعادة تعيين,,
Money,مال,,
Fill all the fields,املأ جميع الحقول,,
Mail Send,إرسال البريد,,
Edit Simple Magento Product,تحرير المنتج الماجنتو بسيط,,
SKU can\'t be left empty,لا يمكن ترك سكو فارغا,,
Edit Account Information,تحرير معلومات الحساب,,
Account Information,معلومات الحساب,,
Partner Email Address,عنوان البريد الإلكتروني للشريك,,
Change Password,تغيير كلمة السر,,
Current Password,كلمة السر الحالية,,
New Password,كلمة السر الجديدة,,
Confirm New Password,تأكيد كلمة المرور الجديدة,,
Required Fields,الحقول المطلوبة,,
Save Account Information,حفظ معلومات الحساب,,
Profile,الملف الشخصي,,
Screen name,الاسم الذي سيظهر,,
Short profile,الملف الشخصي القصير,,
Avatar,الصورة الرمزية,,
Twitter ID,معرف تويتر,,
Facebook ID,معرف الفيسبوك,,
Theme : Background Color,موضوع: لون الخلفية,,
Company Banner,راية الشركة,,
no image,لا توجد صورة,,
Company Logo,شعار الشركة,,
Company Locality,شركة محلية,,
Company Name,اسم الشركة,,
Company Description,وصف الشركة,,
Country Logo,البلد الشعار,,
Description in HTML,الوصف في هتمل,,
Company Profile View,الملف الشخصي للشركة,,
Click for profile view,انقر لعرض الملف الشخصي,,
Company Store View,عرض متجر الشركة,,
Click for store view,انقر لعرض المتجر,,
Company Collection View,عرض مجموعة الشركة,,
Click for collection view,انقر لعرض المجموعة,,
Save Profile,احفظ الملف,,
Payment Mode,طريقة الدفع,,
Payment Details,بيانات الدفع,,
Save Payment,حفظ الدفع,,
Contact Information,معلومات الاتصال,,
Company,شركة,,
Telephone,هاتف,,
Fax,فاكس,,
Address,عنوان,,
Street Address,عنوان الشارع,,
Street Address %s,عنوان الشارع٪ s,,
City,مدينة,,
State/Province,الدولة / مقاطعة,,
"Please select region, state or province",يرجى تحديد المنطقة أو الولاية أو المقاطعة,,
Zip/Postal Code,الرمز البريدي / الرمز البريدي,,
Country,بلد,,
